source,output_scope,figure_file,graph_folder,primary_csv,secondary_csv,notes
SIPP,outmoded,Figure 1 - Estimated Annual Student Loan Interest Paid by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_combined.csv,,Uses Estimated annual interest paid and SE estimated annual interest paid.
SCF,outmoded,Figure 1 - Estimated Annual Student Loan Interest Paid by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_combined.csv,,Uses Estimated annual interest paid and SE estimated annual interest paid.
SIPP,outmoded,Figure 2 - Estimated Student Loan Interest Deduction Tax Savings by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_combined.csv,,Uses Estimated tax savings and SE estimated tax savings.
SCF,outmoded,Figure 2 - Estimated Student Loan Interest Deduction Tax Savings by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_combined.csv,,Uses Estimated tax savings and SE estimated tax savings.
SIPP,outmoded,Figure 3 - Appendix Student Loan Interest Deduction Components by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_combined.csv,,Uses estimated annual interest paid max potential deduction allowable deduction after MAGI phaseout and estimated tax savings columns.
SCF,outmoded,Figure 3 - Appendix Student Loan Interest Deduction Components by Race and Household Type.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_combined.csv,,Uses estimated annual interest paid max potential deduction allowable deduction after MAGI phaseout and estimated tax savings columns.
SIPP,outmoded,Figure 4 - A Higher Married Cap Expands Deductions Most for Some Groups.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_deduction_gain and SE mean deduction gain for married households only.
SCF,outmoded,Figure 4 - A Higher Married Cap Expands Deductions Most for Some Groups.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_deduction_gain and SE mean deduction gain for married households only.
SIPP,outmoded,Figure 5 - A Higher Married Cap Disproportionately Raises Tax Savings for Married Black Households.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_tax_savings_gain and SE mean tax savings gain for married households only.
SCF,outmoded,Figure 5 - A Higher Married Cap Disproportionately Raises Tax Savings for Married Black Households.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_tax_savings_gain and SE mean tax savings gain for married households only.
SIPP,outmoded,Figure 6 - Appendix Married-Cap Comparison for Black and Non-Black Households.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses multiple married-cap comparison columns from the Black Non-Black comparison CSV.
SCF,outmoded,Figure 6 - Appendix Married-Cap Comparison for Black and Non-Black Households.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses multiple married-cap comparison columns from the Black Non-Black comparison CSV.
SIPP,outmoded,Figure 7 - Share of Married Borrowers at the $2500 Deduction Limit by Race.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_by_race.csv,,Uses pct_borrowers_at_2500_limit_baseline and SE percent borrowers at 2500 limit baseline for married households.
SCF,outmoded,Figure 7 - Share of Married Borrowers at the $2500 Deduction Limit by Race.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_by_race.csv,,Uses pct_borrowers_at_2500_limit_baseline and SE percent borrowers at 2500 limit baseline for married households.
SIPP,outmoded,Figure 8 - Binding Constraint Married Borrowers Gain More Deduction Dollars.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_binding_constraint_married_cap_black_nonblack.csv,,Uses mean_deduction_gain and SE mean deduction gain.
SCF,outmoded,Figure 8 - Binding Constraint Married Borrowers Gain More Deduction Dollars.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_binding_constraint_married_cap_black_nonblack.csv,,Uses mean_deduction_gain and SE mean deduction gain.
SIPP,outmoded,Figure 9 - Binding Constraint Married Borrowers Gain More Tax Savings.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_binding_constraint_married_cap_black_nonblack.csv,,Uses mean_tax_savings_gain and SE mean tax savings gain.
SCF,outmoded,Figure 9 - Binding Constraint Married Borrowers Gain More Tax Savings.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_binding_constraint_married_cap_black_nonblack.csv,,Uses mean_tax_savings_gain and SE mean tax savings gain.
SIPP,outmoded,Figure 9 - Share of Unmarried Borrowers at the $2500 Deduction Limit by Race.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_by_race.csv,,Uses pct_borrowers_at_2500_limit_baseline and SE percent borrowers at 2500 limit baseline for unmarried households.
SCF,outmoded,Figure 9 - Share of Unmarried Borrowers at the $2500 Deduction Limit by Race.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_by_race.csv,,Uses pct_borrowers_at_2500_limit_baseline and SE percent borrowers at 2500 limit baseline for unmarried households.
SIPP,outmoded,Figure 10 - Black Share of Binding-Constraint Tax Relief Relative to Population Share.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_binding_constraint_married_cap_black_nonblack.csv,,Uses tax_relief_to_population_ratio and SE tax relief to population ratio.
SCF,outmoded,Figure 10 - Black Share of Binding-Constraint Tax Relief Relative to Population Share.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_binding_constraint_married_cap_black_nonblack.csv,,Uses tax_relief_to_population_ratio and SE tax relief to population ratio.
SIPP,outmoded,Time Series - Percent of Households with Student Debt by Race.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_by_race.csv,,Uses percent_with_student_debt and its 95 percent confidence interval columns.
SCF,outmoded,Time Series - Percent of Households with Student Debt by Race.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_debt_time_series_by_race.csv,,Uses percent_with_student_debt and its 95 percent confidence interval columns.
SIPP,outmoded,Time Series - Median Student Debt Among Debt Holders by Race.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_by_race.csv,,Uses median_student_debt_positive and its 95 percent confidence interval columns.
SCF,outmoded,Time Series - Median Student Debt Among Debt Holders by Race.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_debt_time_series_by_race.csv,,Uses median_student_debt_positive and its 95 percent confidence interval columns.
SIPP,outmoded,Time Series - Mean Student Debt Among Debt Holders by Race.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_by_race.csv,,Uses mean_student_debt_positive and its 95 percent confidence interval columns.
SCF,outmoded,Time Series - Mean Student Debt Among Debt Holders by Race.pdf,4. outmoded/3. Output Graphs/3. B. SCF,4. outmoded/2. Output CSV/2. B. SCF/scf_student_debt_time_series_by_race.csv,,Uses mean_student_debt_positive and its 95 percent confidence interval columns.
IRS,main,Figure 5 - Student Loan Interest Deduction Claims Are Concentrated in Middle-Income Bins.pdf,3. Output Graphs/3. C. IRS,2. Output CSV/2. C. IRS/irs_student_loan_interest_deduction_us_income_groups.csv,,Uses income_group student_loan_deduction_returns and student_loan_deduction_amount_billions.
IRS,outmoded,Figure 6 - Student Loan Interest Deduction Use Varies Sharply Across States.pdf,4. outmoded/3. Output Graphs/3. C. IRS,4. outmoded/2. Output CSV/2. C. IRS/irs_student_loan_interest_deduction_state_overall_2019.csv,,Uses share_returns_with_student_loan_deduction by state.
IRS,outmoded,irs_state_student_loan_interest_deduction_amount.pdf,4. outmoded/3. Output Graphs/3. C. IRS,4. outmoded/2. Output CSV/2. C. IRS/irs_student_loan_interest_deduction_state_overall_2019.csv,,Uses student_loan_deduction_amount_share_of_agi by state.
